"","Year","Pick","Name","Team"
"1187",2000,56,"Jaquay Walls","Indiana Pacers"
"1188",2000,57,"Scoonie Penn","Atlanta Hawks"
"1189",2000,58,"Pete Mickeal","Dallas Mavericks"
"1190",1999,1,"Elton Brand","Chicago Bulls"
"1191",1999,2,"Steve Francis","Vancouver Grizzlies"
"1192",1999,3,"Baron Davis","Charlotte Hornets"
"1193",1999,4,"Lamar Odom","Los Angeles Clippers"
"1194",1999,5,"Jonathan Bender","Toronto Raptors"
"1195",1999,6,"Wally Szczerbiak","Minnesota Timberwolves"
"1196",1999,7,"Richard Hamilton","Washington Wizards"
"1197",1999,8,"Andre Miller","Cleveland Cavaliers"
"1198",1999,9,"Shawn Marion","Phoenix Suns"
"1199",1999,10,"Jason Terry","Atlanta Hawks"
"1200",1999,11,"Trajan Langdon","Cleveland Cavaliers"
"1201",1999,12,"Aleksandar Radojevic","Toronto Raptors"
"1202",1999,13,"Corey Maggette","Seattle SuperSonics"
"1203",1999,14,"William Avery","Minnesota Timberwolves"
"1204",1999,15,"Frederic Weis","New York Knicks"
"1205",1999,16,"Metta World Peace","Chicago Bulls"
"1206",1999,17,"Cal Bowdler","Atlanta Hawks"
"1207",1999,18,"James Posey","Denver Nuggets"
"1208",1999,19,"Quincy Lewis","Utah Jazz"
"1209",1999,20,"Dion Glover","Atlanta Hawks"
"1210",1999,21,"Jeff Foster","Golden State Warriors"
"1211",1999,22,"Kenny Thomas","Houston Rockets"
"1212",1999,23,"Devean George","Los Angeles Lakers"
"1213",1999,24,"Andrei Kirilenko","Utah Jazz"
"1214",1999,25,"Tim James","Miami Heat"
"1215",1999,26,"Vonteego Cummings","Indiana Pacers"
"1216",1999,27,"Jumaine Jones","Atlanta Hawks"
"1217",1999,28,"Scott Padgett","Utah Jazz"
"1218",1999,29,"Leon Smith","San Antonio Spurs"
"1219",1999,30,"John Celestand","Los Angeles Lakers"
"1220",1999,31,"Rico Hill","Los Angeles Clippers"
"1221",1999,32,"Michael Ruffin","Chicago Bulls"
"1222",1999,33,"Chris Herren","Denver Nuggets"
"1223",1999,34,"Evan Eschmeyer","New Jersey Nets"
"1224",1999,35,"Calvin Booth","Washington Wizards"
"1225",1999,36,"Wang Zhi-zhi","Dallas Mavericks"
"1226",1999,37,"Obinna Ekezie","Vancouver Grizzlies"
"1227",1999,38,"Laron Profit","Orlando Magic"
"1228",1999,39,"A.J. Bramlett","Cleveland Cavaliers"
"1229",1999,40,"Gordan Giricek","Dallas Mavericks"
"1230",1999,41,"Francisco Elson","Denver Nuggets"
"1231",1999,42,"Louis Bullock","Minnesota Timberwolves"
"1232",1999,43,"Lee Nailon","Charlotte Hornets"
"1233",1999,44,"Tyrone Washington","Houston Rockets"
"1234",1999,45,"Ryan Robertson","Sacramento Kings"
"1235",1999,46,"J.R. Koch","New York Knicks"
"1236",1999,47,"Todd MacCulloch","Philadelphia 76ers"
"1237",1999,48,"Galen Young","Milwaukee Bucks"
"1238",1999,49,"Lari Ketner","Chicago Bulls"
"1239",1999,50,"Venson Hamilton","Houston Rockets"
"1240",1999,51,"Antwain Smith","Vancouver Grizzlies"
"1241",1999,52,"Roberto Bergersen","Portland Trail Blazers"
"1242",1999,53,"Rodney Buford","Miami Heat"
"1243",1999,54,"Melvin Levett","Detroit Pistons"
"1244",1999,55,"Kris Clack","Boston Celtics"
"1245",1999,56,"Tim Young","Golden State Warriors"
"1246",1999,57,"Manu Ginobili","San Antonio Spurs"
"1247",1999,58,"Eddie Lucas","Utah Jazz"
"1248",1998,1,"Michael Olowokandi","Los Angeles Clippers"
"1249",1998,2,"Mike Bibby","Vancouver Grizzlies"
"1250",1998,3,"Raef LaFrentz","Denver Nuggets"
"1251",1998,4,"Antawn Jamison","Toronto Raptors"
"1252",1998,5,"Vince Carter","Golden State Warriors"
"1253",1998,6,"Robert Traylor","Dallas Mavericks"
"1254",1998,7,"Jason Williams","Sacramento Kings"
"1255",1998,8,"Larry Hughes","Philadelphia 76ers"
"1256",1998,9,"Dirk Nowitzki","Milwaukee Bucks"
"1257",1998,10,"Paul Pierce","Boston Celtics"
"1258",1998,11,"Bonzi Wells","Detroit Pistons"
"1259",1998,12,"Michael Doleac","Orlando Magic"
"1260",1998,13,"Keon Clark","Orlando Magic"
"1261",1998,14,"Michael Dickerson","Houston Rockets"
"1262",1998,15,"Matt Harpring","Orlando Magic"
"1263",1998,16,"Bryce Drew","Houston Rockets"
"1264",1998,17,"Rasho Nesterovic","Minnesota Timberwolves"
"1265",1998,18,"Mirsad Turkcan","Houston Rockets"
"1266",1998,19,"Pat Garrity","Milwaukee Bucks"
"1267",1998,20,"Roshown McLeod","Atlanta Hawks"
"1268",1998,21,"Ricky Davis","Charlotte Hornets"
"1269",1998,22,"Brian Skinner","Los Angeles Clippers"
"1270",1998,23,"Tyronn Lue","Denver Nuggets"
"1271",1998,24,"Felipe Lopez","San Antonio Spurs"
"1272",1998,25,"Al Harrington","Indiana Pacers"
"1273",1998,26,"Sam Jacobson","Los Angeles Lakers"
"1274",1998,27,"Vladimir Stepania","Seattle SuperSonics"
"1275",1998,28,"Corey Benjamin","Chicago Bulls"
"1276",1998,29,"Nazr Mohammed","Utah Jazz"
"1277",1998,30,"Ansu Sesay","Dallas Mavericks"
"1278",1998,31,"Ruben Patterson","Los Angeles Lakers"
"1279",1998,32,"Rashard Lewis","Seattle SuperSonics"
"1280",1998,33,"Jelani McCoy","Seattle SuperSonics"
"1281",1998,34,"Shammond Williams","Chicago Bulls"
"1282",1998,35,"Bruno Sundov","Dallas Mavericks"
"1283",1998,36,"Jerome James","Sacramento Kings"
"1284",1998,37,"Casey Shaw","Philadelphia 76ers"
"1285",1998,38,"DeMarco Johnson","New York Knicks"
"1286",1998,39,"Rafer Alston","Milwaukee Bucks"
"1287",1998,40,"Korleone Young","Detroit Pistons"
"1288",1998,41,"Cuttino Mobley","Houston Rockets"
"1289",1998,42,"Miles Simon","Orlando Magic"
"1290",1998,43,"Jahidi White","Washington Wizards"
"1291",1998,44,"Sean Marks","New York Knicks"
"1292",1998,45,"Toby Bailey","Los Angeles Lakers"
"1293",1998,46,"Andrae Patterson","Minnesota Timberwolves"
"1294",1998,47,"Tyson Wheeler","Toronto Raptors"
"1295",1998,48,"Ryan Stack","Cleveland Cavaliers"
"1296",1998,49,"Cory Carr","Atlanta Hawks"
"1297",1998,50,"Andrew Betts","Charlotte Hornets"
"1298",1998,51,"Corey Brewer","Miami Heat"
"1299",1998,52,"Derrick Dial","San Antonio Spurs"
"1300",1998,53,"Greg Buckner","Dallas Mavericks"
"1301",1998,54,"Tremaine Fowlkes","Denver Nuggets"
"1302",1998,55,"Ryan Bowen","Denver Nuggets"
"1303",1998,56,"J.R. Henderson","Vancouver Grizzlies"
"1304",1998,57,"Torraye Braggs","Utah Jazz"
"1305",1998,58,"Maceo Baston","Chicago Bulls"
"1306",1997,1,"Tim Duncan","San Antonio Spurs"
"1307",1997,2,"Keith Van Horn","Philadelphia 76ers"
"1308",1997,3,"Chauncey Billups","Boston Celtics"
"1309",1997,4,"Antonio Daniels","Vancouver Grizzlies"
"1310",1997,5,"Tony Battie","Denver Nuggets"
"1311",1997,6,"Ron Mercer","Boston Celtics"
"1312",1997,7,"Tim Thomas","New Jersey Nets"
"1313",1997,8,"Adonal Foyle","Golden State Warriors"
"1314",1997,9,"Tracy McGrady","Toronto Raptors"
"1315",1997,10,"Danny Fortson","Milwaukee Bucks"
"1316",1997,11,"Tariq Abdul-Wahad","Sacramento Kings"
"1317",1997,12,"Austin Croshere","Indiana Pacers"
"1318",1997,13,"Derek Anderson","Cleveland Cavaliers"
"1319",1997,14,"Maurice Taylor","Los Angeles Clippers"
"1320",1997,15,"Kelvin Cato","Dallas Mavericks"
"1321",1997,16,"Brevin Knight","Cleveland Cavaliers"
"1322",1997,17,"Johnny Taylor","Orlando Magic"
"1323",1997,18,"Chris Anstey","Portland Trail Blazers"
